slug              ,emailx ,domain              ,url                                                         ,description                                                                                                                                                                                                                                                                                                    ,title
zora              ,       ,zora.co             ,api.zora.co/graphql                                         ,Graphql API for zora. Programmatic access to NFT data.                                                                                                                                                                                                                                                         ,ZORA - Enjoy Ethereum
wapm-registry     ,       ,wapm.io             ,registry.wapm.io/graphql                                    ,API for the wapm registry                                                                                                                                                                                                                                                                                      ,WAPM - WebAssembly Package Manager
thegraph          ,       ,thegraph.com        ,api.thegraph.com/index-node/graphql                         ,The Graph is an indexing protocol for organizing blockchain data and making it easily accessible with GraphQL.                                                                                                                                                                                                 ,The Graph
tezos-domains     ,       ,tezos.domains       ,api.tezos.domains/graphql                                   ,"Distributed, open and extensible naming system using the Tezos blockchain."                                                                                                                                                                                                                                   ,Tezos Domains
sourcegraph       ,       ,sourcegraph.com     ,sourcegraph.com/.api/graphql                                ,"Sourcegraph is a web-based code search and navigation tool for dev teams. Search, navigate, and review code."                                                                                                                                                                                                 ,Sourcegraph
pokeapi           ,       ,pokeapi.co          ,beta.pokeapi.co/graphql/v1beta                              ,All the Pokémon data you'll ever need in one place                                                                                                                                                                                                                                                             ,Poki API
opencollective    ,       ,opencollective.com  ,opencollective.com/api/graphql/v2                           ,GraphQL API for Open Collective.\nOpen Collective is a legal and financial toolbox for groups.\nIt’s a fundraising + legal status + money management platform for your community.                                                                                                                              ,Loading
universe-com-beta ,       ,universe.com        ,www.universe.com/graphql/beta                               ,Universe has the tools and support you need to make your next event a success. Create your event today.                                                                                                                                                                                                        ,"Sell Tickets, Create Events and Discover Experiences - Universe"
sorare            ,       ,sorare.com          ,api.sorare.com/graphql                                      ,"Collect, play and win officially licensed digital cards featuring the world's best global football, NBA and MLB players."                                                                                                                                                                                     ,Sorare: Own Your Game
snapshot-org      ,       ,snapshot.org        ,hub.snapshot.org/graphql                                    ,"Snapshot is an off-chain voting platform that allows DAOs, DeFi protocols, or NFT communities to vote easily and without gas fees."                                                                                                                                                                           ,Snapshot
slothpixel        ,       ,slothpixel.me       ,api.slothpixel.me/api/graphql                               ,The Slothpixel API provides Hypixel related data.                                                                                                                                                                                                                                                              ,
rickandmortyapi   ,       ,rickandmortyapi.com ,rickandmortyapi.com/graphql                                 ,The Rick and Morty API is a REST and GraphQL API based on the television show Rick and Morty                                                                                                                                                                                                                   ,The Rick and Morty API
red-bot-io        ,       ,red-bot.io          ,dashboard.red-bot.io/graphql                                ,Chat bot platform based on Node-RED                                                                                                                                                                                                                                                                            ,
mixcloud          ,       ,mixcloud.com        ,www.mixcloud.com/graphql                                    ,"Play, share and make money from music.\n API"                                                                                                                                                                                                                                                                 ,Mixcloud
minaexplorer      ,       ,minaexplorer.com    ,proxy.berkeley.minaexplorer.com/graphql                     ,                                                                                                                                                                                                                                                                                                               ,Mina Block Explorer
kitsu             ,       ,kitsu.io            ,kitsu.io/api/graphql                                        ,Explore Kitsu Anime catalog                                                                                                                                                                                                                                                                                    ,
fly-io            ,       ,fly.io              ,api.fly.io/graphql                                          ,                                                                                                                                                                                                                                                                                                               ,Fly
digitransit       ,       ,digitransit.fi      ,api.digitransit.fi/routing/v1/routers/finland/index/graphql ,HSL:n reittiopas.hsl.fi ja Traficomin opas.matka.fi uudistuivat. Apuasi kaivataan kehitystyössä.                                                                                                                                                                                                               ,icon_menu
diadata-org       ,       ,diadata.org         ,api.diadata.org/graphql/query                               ,"DIA is an open-source, multi-chain oracle platform for Web3, providing fully customizable and transparent data feeds for smart contracts."                                                                                                                                                                    ,"DIA, Multi-Chain Oracles for Web3"
datacite-org      ,       ,datacite.org        ,api.datacite.org/graphql                                    ,DataCite -                                                                                                                                                                                                                                                                                                     ,Welcome to DataCite
blerp             ,       ,blerp.com           ,api.blerp.com/graphql                                       ,"Enhance every live moment with sound! Best gaming Soundboards for Mac OS and Windows. Share the best sound memes and emotes on stream for Twitch, Discord Voice Chats, and Facebook Gaming. Use channel points, bits, or even discord meme soundboards to play sounds for all games. Share the best meme sou" ,Blerp Audio Clips | Best Meme Soundboard | Soundboard Software | Enhancing Moments
arweave           ,       ,arweave.org         ,arweave.net/graphql                                         ,"The Arweave network is like Bitcoin, but for data: A permanent and decentralized web inside an open ledger"                                                                                                                                                                                                   ,
                  ,       ,graphqleditor.com   ,faker.graphqleditor.com/a-team/olympus/graphql              ,Work on your GraphQL Schema online. Build your schema using intuitive visual interfaces. Integrate with anything using our GraphQl API.                                                                                                                                                                        ,Aws icon
                  ,       ,sorare.com          ,api.sorare.com/sports/graphql                               ,"Collect, play and win officially licensed digital cards featuring the world's best global football, NBA and MLB players."                                                                                                                                                                                     ,Sorare: Own Your Game
                  ,       ,tsinghua.app        ,api.tsinghua.app/v1/graphql                                 ,星期四大学信息化建设推进计划                                                                                                                                                                                                                                                                                   ,星期四 Thursday
                  ,       ,morningbrew.com     ,singularity.morningbrew.com/graphql                         ,                                                                                                                                                                                                                                                                                                               ,
                  ,       ,tf1.fr              ,www.tf1.fr/graphql/web                                      ,"Regardez en replay ou en direct les programmes des chaînes TF1, TMC, TFX et TF1 Séries Films. Découvrez également nos vidéos et news exclusives !"                                                                                                                                                            ,"MYTF1 : TF1, TMC, TFX et TF1 Séries Films en replay ou en direct"
                  ,       ,rcsb.org            ,data.rcsb.org/graphql                                       ,"As a member of the wwPDB, the RCSB PDB curates and annotates PDB data according to agreed upon standards. The RCSB PDB also provides a variety of tools and resources. Users can perform simple and advanced searches based on annotations relating to sequence, structure and function. These molecules are" ,RCSB PDB: Homepage
                  ,       ,tzprofiles.com      ,indexer.tzprofiles.com/v1/graphql                           ,                                                                                                                                                                                                                                                                                                               ,Tezos Profiles
                  ,       ,chillicream.com     ,demo.chillicream.com/graphql                                ,We help companies and developers to build next level APIs with GraphQL by providing them the right tooling.                                                                                                                                                                                                    ,Home - ChilliCream GraphQL Platform
                  ,       ,chillicream.com     ,workshop.chillicream.com/graphql                            ,We help companies and developers to build next level APIs with GraphQL by providing them the right tooling.                                                                                                                                                                                                    ,Home - ChilliCream GraphQL Platform
                  ,       ,apollographql.com   ,graphql.api.apollographql.com/api/graphql                   ,"Apollo Graph Platform — unify APIs, microservices, &amp; databases into a graph that you can query with GraphQL"                                                                                                                                                                                              ,"Apollo GraphQL | Supergraph: unify APIs, microservices, &amp; databases in a composable graph"
                  ,       ,webampskins.org     ,api.webampskins.org/graphql                                 ,                                                                                                                                                                                                                                                                                                               ,
                  ,       ,chillicream.com     ,api-crypto-workshop.chillicream.com/graphql                 ,We help companies and developers to build next level APIs with GraphQL by providing them the right tooling.                                                                                                                                                                                                    ,Home - ChilliCream GraphQL Platform
                  ,       ,chillicream.com     ,workshop.chillicream.com/graphql/                           ,We help companies and developers to build next level APIs with GraphQL by providing them the right tooling.                                                                                                                                                                                                    ,Home - ChilliCream GraphQL Platform
                  ,       ,hasura.app          ,learnwithjason.hasura.app/v1/graphql                        ,                                                                                                                                                                                                                                                                                                               ,
                  ,       ,getdbt.com          ,metadata.cloud.getdbt.com/graphql                           ,"dbt is a data transformation tool that enables data analysts and engineers to transform, test and document data in the cloud data warehouse."                                                                                                                                                                 ,dbt - Transform data in your warehouse
                  ,       ,wpgraphql.com       ,content.wpgraphql.com/graphql                               ,                                                                                                                                                                                                                                                                                                               ,
                  ,       ,newnext.ru          ,newnext.ru/graphql                                          ,"newnext - международная глобальная бизнес-сеть, выполняющая функции площадки для бизнеса, объединив пользователей в бизнес-сообщество заинтересованных людей."                                                                                                                                                ,newnext
                  ,       ,vidangel.com        ,chosen-hydra.vidangel.com/graphql                           ,"Sign up for a free account to join over 500,000 families on VidAngel today!"                                                                                                                                                                                                                                  ,VidAngel | Make Entertainment Good For Your Home
                  ,       ,leetcode.cn         ,leetcode.cn/graphql/noj-go                                  ,                                                                                                                                                                                                                                                                                                               ,力扣
                  ,       ,leetcode.cn         ,leetcode.cn/graphql/noj-go/                                 ,                                                                                                                                                                                                                                                                                                               ,力扣
                  ,       ,nikky.moe           ,curse.nikky.moe/graphql                                     ,                                                                                                                                                                                                                                                                                                               ,nikky.moe
                  ,       ,thoth.pub           ,api.thoth.pub/graphql                                       ,Bibliographical metadata management system.                                                                                                                                                                                                                                                                    ,Thoth
                  ,       ,aimlab.gg           ,api.aimlab.gg/graphql                                       ,"Aim Lab is the aim trainer of choice for over 25 Million players, from beginners to esports pros. Our unique aim analysis optimizes your gameplay, targets your weaknesses & builds key skills for any FPS/TPS game, all for free! Time to warm up with our unlimited scenarios & rank up in-game!"           ,Aim Lab
                  ,       ,hicdex.com          ,api.hicdex.com/v1/graphql                                   ,                                                                                                                                                                                                                                                                                                               ,hicdex
                  ,       ,littlexgarden.com   ,littlexgarden.com/graphql                                   ,"Bienvenue sur Little Garden, ici vous pourrez lire gratuitement et sans pubs toutes sortes de mangas traduits en français sous forme de scans ! Tous les chapitres sont mis à jour chaque semaines et sont si possible mis en couleurs. One Piece, Kingdom, Bleach, Bersek SNK, Death Note et bien plus enco" ,Little Garden - Lisez vos scans de mangas en couleurs
                  ,       ,caida.org           ,api.asrank.caida.org/v2/graphql                             ,"CAIDA conducts network research and builds research infrastructure to support large-scale data collection, curation, and data distribution to the scientific research community."                                                                                                                             ,CAIDA
                  ,       ,prefect.io          ,api.prefect.io/graphql                                      ,                                                                                                                                                                                                                                                                                                               ,Prefect | The New Standard in Dataflow Automation - Prefect
                  ,       ,lowmess.com         ,stats.lowmess.com/graphql                                   ,"My name is Alec Lomas, and I make websites"                                                                                                                                                                                                                                                                   ,Go to homepage
                  ,       ,natwelch.com        ,graphql.natwelch.com/graphql                                ,                                                                                                                                                                                                                                                                                                               ,xxiivv webring
                  ,       ,cirrus-ci.com       ,api.cirrus-ci.com/graphql                                   ,"Cirrus CI makes your development cycle fast, efficient, and secure by leveraging modern cloud technologies."                                                                                                                                                                                                  ,Cirrus CI
                  ,       ,opencollective.com  ,api.opencollective.com/graphql/v2                           ,Open Collective is a legal and financial toolbox for groups. It’s a fundraising + legal status + money management platform for your community. What do you want to do?                                                                                                                                         ,Loading
                  ,       ,knightowl.app       ,knightowl.app/graphql                                       ,                                                                                                                                                                                                                                                                                                               ,Knight Owl